-DOCSTART- -X- O O

SUMMARY	O

(	O
8	B-EXP
+	I-EXP
years	I-EXP
of	O
IT	O
Consultant	O
experience	O
as	O
a	O
quality	O
Java	B-HARD SKILL
/	I-HARD SKILL
J2EE	I-HARD SKILL
Developer	O

in	O
Insurance	B-HARD SKILL
,	O
Telecom	B-HARD SKILL
and	O
Financial	B-HARD SKILL
domains	I-HARD SKILL
.	O

(	O
Expertise	O
in	O
OOAD	B-HARD SKILL
(	O
Object	O
Oriented	O
Analysis	O
and	O
Design	O
)	O
and	O
OOP	B-HARD SKILL

(	O
Object	O
Oriented	O
Paradigm	O
)	O
from	O
designing	O
UML	B-HARD SKILL

diagrams	O
using	O
Rational	O
Rose	O
and	O
Visual	O
Paradigm	O
tools	O
to	O
development	B-ROLE

phase	O
.	O

(	O
Experience	O
in	O
Java	B-HARD SKILL
Design	O
Patterns	O
and	O
SOA	O
(	O
Service	O
Oriented	O

Architecture	O
)	O
.	O

(	O
Developed	O
application	O
using	O
core	B-DOMAIN
Java	I-DOMAIN
like	O
Collections	B-HARD SKILL
,	O

Multithreading	B-HARD SKILL
,	O
Serialization	B-HARD SKILL
,	O
Security	B-HARD SKILL
,	O
JavaBeans	B-HARD SKILL
and	O

Internationalization	B-HARD SKILL
.	O

(	O
Developed	O
front	B-HARD SKILL
-	O
end	O
using	O
JSP	B-HARD SKILL
,	O
JSF	B-HARD SKILL
and	O
AJAX	B-HARD SKILL
(	O
JavaScript	B-HARD SKILL
,	O
DHTML	B-HARD SKILL
,	O
CSS	B-HARD SKILL

and	O
CSV	B-HARD SKILL
)	O
.	O

(	O
Designed	O
and	O
Developed	O
Web	O
Applications	O
involving	O
J2EE	B-HARD SKILL
technologies	O

like	O
Servlets	B-HARD SKILL
,	O
JSP	B-HARD SKILL
,	O
JavaBeans	B-HARD SKILL
,	O
EJB	B-HARD SKILL
,	O
JCA	B-HARD SKILL
,	O
JMS	B-HARD SKILL
,	O

JTA	B-HARD SKILL
,	O
JPA	B-HARD SKILL
,	O
JDBC	B-HARD SKILL
,	O
and	O
JNDI	B-HARD SKILL

