-DOCSTART- -X- O O
Summary	O
:	O

Senior	B-ROLE
business	I-ROLE
analyst	I-ROLE
with	O
6	B-EXP
+	I-EXP
years	I-EXP
of	O
industry	O
wide	O
experience	O
in	O
the	O
domain	O
of	O
Insurance	B-DOMAIN
,	O
Healthcare	B-DOMAIN
,	O
Pharmacy	B-DOMAIN
,	O
Life	B-DOMAIN
Sciences	I-DOMAIN
with	O
solid	O
understanding	O
of	O
Business	O
Requirement	O
elicitation	O
techniques	O
,	O
Business	O
Intelligence	O
and	O
experience	O
in	O
envisioning	O
,	O
representing	O
and	O
translating	O
the	O
product	O
vision	O
from	O
the	O
business	O
sector	O
to	O
the	O
software	O
development	O
.	O

Script	O
developing	O
and	O
testing	O
in	O
Facets	O
Client	O
,	O
Development	O
and	O
Production	O
environments	O
.	O

Experience	O
supporting	O
the	O
design	B-SOFT SKILL
,	O
implementation	B-SOFT SKILL
and	B-SOFT SKILL
maintenance	I-SOFT SKILL
of	O
multiple	O
,	O
complex	O
data	O
warehouses	O
including	O
Texas	O
Medicaid	O
Vision	O
21	O
data	O
warehouse	O
,	O
Texas	O
Medicaid	O
Encounters	O
Data	O
Warehouse	O
,	O
the	O
Texas	O
Medicaid	O
Pharmacy	O
Claims	O
Data	O
Mart	O
,	O
and	O
the	O
Connecticut	O
Medicaid	O
Decision	O
Support	O
System	O
.	O

Experience	O
working	O
with	O
team	O
members	O
for	O
full	O
-	O
cycle	O
projects	O
,	O
such	O
as	O
developers	O
,	O
to	O
complete	O
consulting	O
projects	O
on	O
time	O
,	O
and	O
deliver	O
outstanding	O
consulting	O
services	O
to	O
salesforce.com	O
clients	O
.	O

Experience	O
with	O
various	O
Facets	O
modules	O
such	O
as	O
Subscriber	O
/	O
Member	O
,	O
Property	O
&	O
Casualty(P&C)Claims	O
,	O
Plan/	O
Product	O
.	O

Experienced	O
with	O
multiple	O
payer	O
applications	O
including	O
AMISYSand	O
FACETS	O
and	O
DIAMOND	O
,	O
XLESYS	O
.	O

Worked	O
on	O
implementing	O
HIPAA	B-HARD SKILL
4010	I-HARD SKILL
and	O
HIPAA	B-HARD SKILL
5010	I-HARD SKILL
transaction	O
set	O
rules	O
.	O

Extensive	O
knowledge	O
of	O
Salesforce.com	O
implementation	O
cycle	O
in	O
Sales	B-SOFT SKILL
,	O
Marketing	B-SOFT SKILL
,	O
Service	O
and	O
support	O
modules	O
.	O

Experience	O
dealing	O
with	O
enterprise	O
data	O
ware	O
house	O
projects	O
dealing	O
with	O
data	O
transactions	O
and	O
data	O
analysis	O
.	O

Business	O
Analyst	O
with	O
solid	O
understanding	O
of	O
Business	B-SOFT SKILL
Requirements	I-SOFT SKILL
Gathering	I-SOFT SKILL
,	O
Business	B-SOFT SKILL
Process	I-SOFT SKILL
Flow	I-SOFT SKILL
and	O
Business	O
Process	B-SOFT SKILL
Modeling	I-SOFT SKILL

Experience	O
in	O
SalesForce	O
Testing	O
and	O
Administration	O
spanning	O
all	O
facets	O
of	O
package	O
software	O
and	O
SaaS	O
application	O
implementation	O
.	O

Solid	O
background	O
in	O
Software	O
Development	O
Life	O
Cycle	O
methodologies	O
such	O
as	O
the	O
Traditional	O
Waterfall	O
Model	O
as	O
well	O
as	O
iterative	O
approach	O
to	O
software	O
development	O
.	O

Experience	O
in	O
building	O
SQL	B-HARD SKILL
Queries	I-HARD SKILL
,	O
Creating	B-HARD SKILL
sub	I-HARD SKILL
queries	I-HARD SKILL
,	O
minus	O
,	O
union	O
,	O
inline	O
queries	O
and	O
performance	O
tuning	O
of	O
SQL	O
(	O
DB2	O
and	O
Oracle	O
)	O
.	O

Knowledge	O
in	O
Salesforce.com	O
SFA	O
,	O
Force.com	O
Apex	O
Classes	O
,	O
Apex	O
triggers	O
,	O
Integration	O
,	O
Visual	O
force	O
,	O
Force.com	O
API	O
,	O
SOQL	O
,	O
and	O
SOSL	O
.	O

Experienced	O
in	O
performing	O
Business	O
Process	O
Analysis	O
to	O
check	O
the	O
compatibility	O
of	O
the	O
existing	O
system	O
infrastructure	O
with	O
the	O
new	O
business	O
requirements	O
.	O

Involved	O
in	O
reviewing	B-SOFT SKILL
test	I-SOFT SKILL
procedures	I-SOFT SKILL
,	O
defining	B-SOFT SKILL
test	I-SOFT SKILL
cases	I-SOFT SKILL
,	O
reviewing	B-SOFT SKILL
and	O
maintaining	B-SOFT SKILL
test	I-SOFT SKILL
scripts	I-SOFT SKILL
,	O
analyzing	B-SOFT SKILL
bugs	I-SOFT SKILL
and	O
User	B-SOFT SKILL
Acceptance	I-SOFT SKILL
Testing	I-SOFT SKILL
(	O
UAT	O
)	O
.	O

Involved	O
in	O
design	O
and	O
development	O
of	O
Enterprise	O
applications	O
using	O
Microsoft	B-HARD SKILL
.	I-HARD SKILL
Net	I-HARD SKILL
Technologies	O
and	O
SQL	B-HARD SKILL
server	I-HARD SKILL
Database	I-HARD SKILL
2010	I-HARD SKILL
and	O
2008	O
VB.NET	B-HARD SKILL
,	I-HARD SKILL
ASP.NET	B-HARD SKILL
