-DOCSTART- -X- O O
PROFESSIONAL	O
SUMMARY	O
:	O

Have	O
around	O
7	B-EXP
years	I-EXP
of	O
experience	O
in	O
design	O
and	O
development	O
of	O
applications	O
using	O
Salesforce	B-HARD SKILL
&	O
.NET	B-HARD SKILL
technologies	I-HARD SKILL
.	O

Strong	O
IT	O
experience	O
in	O
Software	O
Development	O
that	O
includes	O
all	O
phases	O
of	O
Requirement	O
Analysis	O
,	O
Design	O
,	O
Development	O
,	O
UAT	O
and	O
maintenance	O
of	O
Product	O
/	O
business	O
applications	O
including	O
Cloud	B-HARD SKILL
Based	I-HARD SKILL
,	O
Web	B-HARD SKILL
Applications	I-HARD SKILL
,	O
Windows	B-HARD SKILL
Applications	I-HARD SKILL
,	O
Web	B-HARD SKILL
Services	I-HARD SKILL
,	O
Windows	B-HARD SKILL
Services	I-HARD SKILL
,	O
Client	B-HARD SKILL
-	I-HARD SKILL
Server	I-HARD SKILL
applications	I-HARD SKILL
.	O

Worked	O
closely	O
with	O
Business	O
Users	O
to	O
enable	O
business	O
processes	O
using	O
SFDC	B-HARD SKILL

Experience	O
working	O
across	O
various	O
SFDC	O
implementations	O
covering	O
Sales	O
Cloud	O
,	O
Service	O
Cloud	O
,	O
Call	O
center	O
,	O
Chatter	O
&	O
App	O
-	O
exchange	O
applications	O
.	O

Experience	O
in	O
SFDC	B-HARD SKILL
development	I-HARD SKILL
using	O
Apex	O
classes	O
and	O
Triggers	O
,	O
Visual	O
Force	O
,	O
Force.com	O
IDE	O
,	O
SOQL	O
,	O
SOSL	O

Proficiency	O
in	O
SFDC	O
Administrative	O
tasks	O
like	O
creating	O
Profiles	O
,	O
Roles	O
,	O
Users	O
,	O
Page	O
Layouts	O
,	O
Email	O
Services	O
,	O
Approvals	O
,	O
Workflows	O
,	O
Reports	O
,	O
Dashboards	O
,	O
Tasks	O
and	O
Events	O
.	O

In	O
-	O
depth	O
experience	O
in	O
CRM	O
business	O
processes	O
like	O
Forecasting	B-SOFT SKILL
,	O
Campaign	B-SOFT SKILL
Management	I-SOFT SKILL
,	O
Lead	B-SOFT SKILL
Management	I-SOFT SKILL
,	O
Pipeline	B-SOFT SKILL
Management	I-SOFT SKILL
,	O
Order	B-SOFT SKILL
Management	I-SOFT SKILL
,	O
Account	B-SOFT SKILL
Management	I-SOFT SKILL
,	O
Case	B-SOFT SKILL
Management	I-SOFT SKILL
.	O

Extensive	O
experience	O
in	O
analyzing	O
business	O
requirements	O
,	O
entity	O
relationships	O
and	O
converting	O
to	O
Salesforce	O
custom	O
objects	O
,	O
lookup	O
relationships	O
,	O
junction	O
objects	O
,	O
master	O
-	O
detail	O
relationships	O
.	O

Experience	O
in	O
integrating	O
Salesforce	O
with	O
ERP	B-HARD SKILL
applications	I-HARD SKILL
like	O
SAP	O
using	O
Informatics	O
-	O
on	O
-	O
Demand	O
.	O

Extensive	O
experience	O
in	O
designing	O
Custom	B-SOFT SKILL
Formula	I-SOFT SKILL
Fields	I-SOFT SKILL
,	O
Field	B-SOFT SKILL
